epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.454,2.06936,4.23645,2.32514,0.03205,0.04483,0.03554,0.01828,2.33137,4.48753,2.73703,0.000113175,0.000113175,0.000113175
2,1126.86,1.78967,3.98669,2.08913,0.60516,0.12561,0.12736,0.05651,2.26304,3.91591,2.71963,0.000220645,0.000220645,0.000220645
3,1619.08,1.70595,3.54763,2.04273,0.60303,0.16682,0.16913,0.0689,2.17014,4.82383,2.70737,0.000320525,0.000320525,0.000320525
4,2122.03,1.72139,3.30387,2.05452,0.48803,0.30073,0.23839,0.0969,2.1628,4.35093,2.68834,0.000310845,0.000310845,0.000310845
5,2611.37,1.64936,3.09474,2.00982,0.56527,0.29876,0.25179,0.11135,2.12154,3.48216,2.66995,0.00029946,0.00029946,0.00029946
6,3102.57,1.59187,2.9814,1.97431,0.57045,0.33697,0.33953,0.16478,2.03424,3.24222,2.56515,0.000288075,0.000288075,0.000288075
7,3601.59,1.60941,2.86224,1.99722,0.44103,0.45396,0.39466,0.17027,2.00448,3.21986,2.51338,0.00027669,0.00027669,0.00027669
8,4077.58,1.58731,2.7713,1.97019,0.49565,0.48131,0.44662,0.21077,1.93288,2.98459,2.44029,0.000265305,0.000265305,0.000265305
9,4568.63,1.52372,2.65798,1.92579,0.52708,0.47736,0.44894,0.2006,1.96038,2.98988,2.50962,0.00025392,0.00025392,0.00025392
10,5096.97,1.48744,2.57741,1.88541,0.49452,0.46032,0.44875,0.20472,1.91815,2.6544,2.49795,0.000242535,0.000242535,0.000242535
11,5653.92,1.42984,2.50339,1.85631,0.49713,0.42874,0.45807,0.2159,1.93392,2.70755,2.46166,0.00023115,0.00023115,0.00023115
12,6200.85,1.4561,2.39648,1.87764,0.57378,0.49226,0.49727,0.23899,1.86453,2.50217,2.42521,0.000219765,0.000219765,0.000219765
13,6752.05,1.45527,2.43451,1.84412,0.54509,0.51118,0.51462,0.25227,1.84406,2.53021,2.40508,0.00020838,0.00020838,0.00020838
14,7297.81,1.39386,2.32736,1.8033,0.55963,0.54508,0.53896,0.26993,1.81197,2.44151,2.35125,0.000196995,0.000196995,0.000196995
15,7841.05,1.40323,2.38224,1.81329,0.58904,0.56371,0.56444,0.27631,1.78264,2.39323,2.36266,0.00018561,0.00018561,0.00018561
16,8377.69,1.37318,2.1762,1.78482,0.6521,0.54392,0.57556,0.28638,1.76491,2.3515,2.35898,0.000174225,0.000174225,0.000174225
17,8932.15,1.33683,2.21549,1.76888,0.67579,0.56449,0.60644,0.30471,1.76218,2.34078,2.34945,0.00016284,0.00016284,0.00016284
18,9484.38,1.30703,2.20413,1.7435,0.67811,0.55481,0.62033,0.31249,1.72824,2.2465,2.29959,0.000151455,0.000151455,0.000151455
19,10031.4,1.30214,2.09663,1.74003,0.65291,0.59934,0.63529,0.32707,1.69812,2.25431,2.30254,0.00014007,0.00014007,0.00014007
20,10508.3,1.29492,2.08253,1.72764,0.69637,0.56081,0.64282,0.33753,1.66745,2.18604,2.26543,0.000128685,0.000128685,0.000128685
21,10968.7,1.22734,2.22076,1.7334,0.6096,0.58967,0.60301,0.3101,1.71135,2.37812,2.37416,0.0001173,0.0001173,0.0001173
22,11417.3,1.1426,2.0763,1.69711,0.66052,0.62846,0.6558,0.33425,1.66728,2.1456,2.36204,0.000105915,0.000105915,0.000105915
23,11880.4,1.09972,1.99605,1.63946,0.73131,0.56329,0.64652,0.34216,1.64428,2.13099,2.35383,9.453e-05,9.453e-05,9.453e-05
24,12344.7,1.0751,1.94107,1.62543,0.73057,0.57489,0.67425,0.35419,1.6203,2.04652,2.3079,8.3145e-05,8.3145e-05,8.3145e-05
25,12801.7,1.04349,1.87235,1.59867,0.7221,0.634,0.69226,0.35859,1.60174,2.10418,2.31486,7.176e-05,7.176e-05,7.176e-05
26,13256.6,1.0499,1.91522,1.60137,0.69165,0.63955,0.7007,0.36975,1.59693,2.059,2.31225,6.0375e-05,6.0375e-05,6.0375e-05
27,13759.9,1.03072,1.87696,1.60086,0.71614,0.63424,0.69716,0.37392,1.57081,2.05352,2.28565,4.899e-05,4.899e-05,4.899e-05
28,14303,0.98852,1.78332,1.54818,0.76034,0.6512,0.71158,0.38079,1.55627,2.04533,2.29213,3.7605e-05,3.7605e-05,3.7605e-05
29,14839.1,0.95783,1.75283,1.53865,0.77442,0.66519,0.72279,0.38891,1.5497,1.97676,2.29342,2.622e-05,2.622e-05,2.622e-05
30,15370.2,0.95748,1.74052,1.54571,0.77872,0.66427,0.7262,0.38734,1.55361,1.96821,2.29274,1.4835e-05,1.4835e-05,1.4835e-05
