epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2730.87,2.23853,3.47972,2.42294,0.34403,0.31364,0.26336,0.11086,2.4561,2.89735,2.7597,0.0701429,0.00331746,0.00331746
2,4385.82,1.85633,2.55881,2.07167,0.38002,0.36288,0.33074,0.14472,2.29288,2.45606,2.6846,0.0400112,0.00651911,0.00651911
3,5843.54,1.77044,2.43773,2.02886,0.29785,0.3521,0.28251,0.11938,2.28597,2.57893,2.75103,0.00974749,0.00958876,0.00958876
4,7280.34,1.7402,2.42615,2.02646,0.38744,0.36243,0.30535,0.12168,2.18619,2.61371,2.64572,0.009406,0.009406,0.009406
5,8631.87,1.69628,2.37774,1.99438,0.33811,0.36482,0.32252,0.13514,2.16461,2.52637,2.70268,0.009208,0.009208,0.009208
6,9976.1,1.64545,2.29262,1.96095,0.4865,0.37028,0.37396,0.15894,2.21867,2.26604,2.73175,0.00901,0.00901,0.00901
7,11327.3,1.59093,2.16528,1.92065,0.41294,0.41187,0.36088,0.15192,2.15122,2.16494,2.63601,0.008812,0.008812,0.008812
8,12840.1,1.53121,2.08356,1.87445,0.47968,0.4154,0.41835,0.19051,1.9901,2.08014,2.5626,0.008614,0.008614,0.008614
9,14419.3,1.5058,2.02155,1.8544,0.49614,0.42314,0.4258,0.2007,1.96672,1.97387,2.49577,0.008416,0.008416,0.008416
10,16058.2,1.46931,1.94236,1.82922,0.52585,0.44967,0.44933,0.20632,2.07668,1.87808,2.67784,0.008218,0.008218,0.008218
11,17673.1,1.43849,1.90589,1.80033,0.54471,0.45327,0.47135,0.22383,1.97032,1.81436,2.5787,0.00802,0.00802,0.00802
12,19106.6,1.40608,1.84929,1.78509,0.62319,0.47868,0.52914,0.25198,1.87065,1.72219,2.4859,0.007822,0.007822,0.007822
13,20601.1,1.37744,1.78656,1.75261,0.5652,0.46164,0.49495,0.25028,1.86629,1.81524,2.49494,0.007624,0.007624,0.007624
14,22069.9,1.35119,1.73348,1.73063,0.68802,0.4567,0.53385,0.2689,1.81316,1.65983,2.4198,0.007426,0.007426,0.007426
15,23462.2,1.33213,1.68549,1.7148,0.65981,0.51857,0.5547,0.27927,1.82997,1.65241,2.51937,0.007228,0.007228,0.007228
16,25017.7,1.29471,1.60713,1.67938,0.63669,0.51584,0.55576,0.27124,1.82361,1.54479,2.54843,0.00703,0.00703,0.00703
17,26569.6,1.26382,1.56289,1.65723,0.72705,0.53381,0.61261,0.30883,1.76707,1.40526,2.54915,0.006832,0.006832,0.006832
18,27968.6,1.24171,1.54659,1.63962,0.65068,0.59691,0.59497,0.30286,1.73693,1.4295,2.46402,0.006634,0.006634,0.006634
19,29378.7,1.20447,1.46714,1.6062,0.66251,0.57228,0.62068,0.30773,1.73093,1.38756,2.42183,0.006436,0.006436,0.006436
20,30834.9,1.17731,1.42057,1.59057,0.70014,0.55325,0.60406,0.3127,1.72179,1.37483,2.4859,0.006238,0.006238,0.006238
21,32266.9,1.15294,1.39754,1.57117,0.76399,0.55284,0.63969,0.33601,1.67849,1.29439,2.46486,0.00604,0.00604,0.00604
22,33713.7,1.11234,1.33734,1.54203,0.73311,0.57265,0.64266,0.33686,1.65615,1.29322,2.50141,0.005842,0.005842,0.005842
23,35147.3,1.11696,1.32551,1.54201,0.75656,0.57344,0.64523,0.33601,1.65944,1.29901,2.46278,0.005644,0.005644,0.005644
24,36609,1.0889,1.32171,1.52153,0.77047,0.60151,0.66195,0.35347,1.60135,1.21859,2.42363,0.005446,0.005446,0.005446
25,38077,1.06274,1.26223,1.49878,0.7214,0.62863,0.649,0.34521,1.6042,1.20811,2.38774,0.005248,0.005248,0.005248
26,39516.3,1.04979,1.21185,1.48884,0.79796,0.61892,0.67698,0.36504,1.5613,1.17463,2.39609,0.00505,0.00505,0.00505
27,40968.8,1.02825,1.18218,1.47315,0.76862,0.62319,0.6784,0.36036,1.5874,1.19505,2.40595,0.004852,0.004852,0.004852
28,42305.5,1.0076,1.16076,1.45835,0.79457,0.62842,0.68152,0.36977,1.5384,1.1207,2.41358,0.004654,0.004654,0.004654
29,43633.8,0.99167,1.14801,1.4412,0.81101,0.61564,0.69299,0.37578,1.52736,1.12747,2.38936,0.004456,0.004456,0.004456
30,44961.3,0.96624,1.10136,1.42274,0.81607,0.61375,0.69224,0.38137,1.52614,1.08539,2.3516,0.004258,0.004258,0.004258
31,46284.9,0.96506,1.09795,1.41854,0.80867,0.62285,0.69063,0.38762,1.49773,1.0568,2.43241,0.00406,0.00406,0.00406
32,47621.6,0.935,1.03287,1.39071,0.82391,0.65733,0.69454,0.38724,1.48212,1.06197,2.37295,0.003862,0.003862,0.003862
33,48980.8,0.9182,1.05035,1.38891,0.85444,0.64739,0.70444,0.38678,1.46849,1.03246,2.42869,0.003664,0.003664,0.003664
34,50354.3,0.90422,1.00542,1.37162,0.81745,0.67488,0.71046,0.39366,1.46293,0.99564,2.42873,0.003466,0.003466,0.003466
35,51715.1,0.88723,0.99528,1.36442,0.85638,0.66776,0.71681,0.40012,1.47367,1.02021,2.46016,0.003268,0.003268,0.003268
36,53087.4,0.8763,0.98065,1.35196,0.82451,0.66448,0.70429,0.40149,1.46397,0.98401,2.44277,0.00307,0.00307,0.00307
37,54455.8,0.86605,0.96747,1.34677,0.86118,0.64663,0.70796,0.40698,1.44247,0.98064,2.42629,0.002872,0.002872,0.002872
38,55817.3,0.85251,0.95926,1.33895,0.84487,0.6771,0.71648,0.4168,1.41567,0.96746,2.4207,0.002674,0.002674,0.002674
