epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2977.62,2.17956,3.35596,2.36398,0.38733,0.33241,0.2762,0.12426,2.45428,2.76018,2.77446,0.0700958,0.00332268,0.00332268
2,5286.48,1.80472,2.55228,2.04435,0.4272,0.35101,0.31997,0.13784,2.28592,2.59127,2.6575,0.0399641,0.00652423,0.00652423
3,7564.99,1.72926,2.46316,2.01574,0.33983,0.33543,0.2731,0.11342,2.35921,2.98801,2.91977,0.00970027,0.00959377,0.00959377
4,10637.5,1.72882,2.50929,2.03554,0.34744,0.35786,0.30755,0.12883,2.23554,2.56834,2.74191,0.009406,0.009406,0.009406
5,13182.9,1.67985,2.44355,2.00678,0.44118,0.39117,0.36198,0.14974,2.12551,2.48118,2.71527,0.009208,0.009208,0.009208
6,15684.5,1.61311,2.35352,1.95836,0.46608,0.40432,0.37442,0.16382,2.13245,2.27725,2.67605,0.00901,0.00901,0.00901
7,18245.5,1.5781,2.25401,1.93007,0.50093,0.41374,0.42689,0.18532,2.09894,2.14807,2.74106,0.008812,0.008812,0.008812
8,20697.2,1.53709,2.19344,1.90145,0.48256,0.46246,0.44496,0.21219,1.99641,1.89198,2.64515,0.008614,0.008614,0.008614
9,23307.1,1.48146,2.08596,1.8552,0.56208,0.47213,0.47624,0.22023,2.00818,1.98978,2.66862,0.008416,0.008416,0.008416
10,25975.9,1.45479,2.03161,1.84254,0.63119,0.47499,0.52366,0.25327,1.88628,1.74413,2.55727,0.008218,0.008218,0.008218
11,28409.7,1.40774,1.92762,1.79902,0.57539,0.49632,0.51331,0.24108,1.93708,1.80364,2.69402,0.00802,0.00802,0.00802
12,31217.3,1.37867,1.87002,1.77576,0.62652,0.52506,0.55109,0.27838,1.82151,1.64805,2.55136,0.007822,0.007822,0.007822
13,33977.2,1.35682,1.81686,1.75282,0.7016,0.53769,0.58957,0.28187,1.8172,1.68734,2.50085,0.007624,0.007624,0.007624
14,36947,1.31615,1.76949,1.71769,0.70995,0.51981,0.57966,0.29556,1.8149,1.57596,2.5459,0.007426,0.007426,0.007426
15,39707,1.28934,1.6962,1.69374,0.67613,0.55244,0.59293,0.28841,1.77627,1.54914,2.58529,0.007228,0.007228,0.007228
16,41999.8,1.24606,1.62769,1.66423,0.7102,0.58524,0.61849,0.32262,1.72415,1.3773,2.46615,0.00703,0.00703,0.00703
17,44303.8,1.22201,1.56839,1.64262,0.80843,0.55952,0.64212,0.34254,1.68644,1.24911,2.45507,0.006832,0.006832,0.006832
18,46380.8,1.1964,1.53529,1.61749,0.72617,0.57446,0.61451,0.33103,1.6879,1.34089,2.60682,0.006634,0.006634,0.006634
19,48452.6,1.17109,1.49937,1.59762,0.76707,0.63413,0.67796,0.35017,1.6063,1.29484,2.42755,0.006436,0.006436,0.006436
